"key","ru","en"
"points","Очки: ","Points: "
"balls","Мячи: ","Balls: "
"coach","Тренер","Coach"
"games","Игры","Games"
"shop","Магазин","Shop"
"characteristics","Характеристики","Characteristics"
"settings","Настройки","Settings"
"aboutTheGame","Об игре","About the game"
"rules","Правила","Rules"
"enterCode","Введите код:","Enter code:"
"code","Код...","Code..."
"specifications","Характеристики:","Specifications:"
"medium","Средние: ","Medium: "
"distant","Дальние: ","Distant: "
"extra_long","Сверх-дальние: ","Extra-long: "
"aboutTheGame_TEXT1","Эта игра - первый серьезный опыт по разработке. Идея начала реализовываться в начале лета 2023 года (Июнь). Все идеи и механики разрабатывались самостоятельно.","This game is the first serious development experience. The idea began to be implemented in the early summer of 2023 (June). All ideas and mechanics were developed independently."
"aboutTheGame_TEXT2","Главный разработчик: Моисеев Семён","Main Developer: Moiseev Semen"
"music","Музыка","Music"
"sounds","Звуки FX","Sounds FX"
"language","Язык","Language"
"nightMode","Ночной режим","Night mode"
"vibration","Вибрация","Vibration"
"graphics","Графика","Graphics"
"notifications","Уведомления","Notifications"
"reset","Сброс","Reset"
"save","Сохранить","Save"
"hello","Привет, дружище! Я хотел бы научиться играть в баскетбол лучше, но у меня не очень получается одному. Я был бы очень рад, если ты поможешь мне) Если ты согласен, то я тебе сейчас все объясню!","Hello, my friend! I would like to learn how to play basketball better, but I'm not very good at it alone. I would be very happy if you help me) If you agree, then I'll explain everything to you now!"
"training1","Справа, в верхнем углу, находится табличка, на которой показываются забитые очки и мячи.","On the right, in the upper corner, there is a sign showing scored points and balls."
"training2","Рядом с ней находится шкала моей выносливости. Она показывает, насколько я устал. Когда шкала закончится, то мне понадобится время для отдыха, прежде чем снова продолжить тренировку.","Next to it is the scale of my endurance. It shows how tired I am. When the scale is over, I will need time to rest before continuing training again."
"training3","Слева, в верхнем углу, находится счетчик денег, которыми ты сможешь пользоваться.","On the left, in the upper corner, there is a counter of money that you can use."
"training4","Ну и самое важное! Чтобы помогать мне на тренировках, у тебя есть джойстик слева и кнопка броска справа.","Well, the most important thing! To help me in training, you have a joystick on the left and a throw button on the right."
"training5","Чтобы бросить мяч, тебе нужно будет зажать кнопку и отпустить в нужный момент. Он настанет, когда зеленая шкала техники броска полностью заполнится. Шкала будет находиться между джойстиком и кнопкой броска.","To throw the ball, you will need to hold down the button and release it at the right moment. It will come when the green scale of the throwing technique is completely filled. The scale will be located between the joystick and the throw button."
"training6","При заполнении зеленой шкалы на 100%, дается дополнительный шанс на попадание. Но это не означает, что я буду попадать постоянно, так как вероятность реализации броска, пока что, у меня очень маленькая. И я хочу тренироваться, чтобы попадать больше. За каждое попадание моя статистика будет увеличиваться. Я надеюсь на твое терпение!","When the green scale is filled at 100%, an additional chance of hitting is given. But this does not mean that I will hit constantly, since the probability of implementing a throw, so far, is very small for me. And I want to train to hit more. For each hit, my stats will increase. I hope for your patience!"
"training7","Но если ты отпустишь кнопку слишком рано или поздно, то большой шанс, что я промахнусь. Поэтому стоит натренировать реакцию, чтобы бросать мяч вовремя!","But if you release the button too soon or too late, there's a big chance I'll miss. Therefore, it is worth training your reaction to throw the ball on time!"
"training8","Чем дальше бросать от кольца, тем меньше шанс попадания. При броске, когда ты находишься рядом с серединой поля, за попадание в кольцо ты получишь 3 очка. При попадании с той же зоны еще раз, ты получишь не 3 очка, а 4 очка. За каждое попадание со сверхдальней зоны без промаха, к очкам будет добавляться одно бонусное очко.","The further you throw from the ring, the less chance of hitting. When you throw, when you are near the middle of the field, you will get 3 points for hitting the ring. If you hit from the same zone again, you will get not 3 points, but 4 points. For each hit from the ultra-long zone without a miss, one bonus point will be added to the points."
"training9","Со средней и дальней зоной так не получится, так как с них вероятность попадания, у меня, больше, чем со сверхдальней.","It won't work that way with the middle and far zones, since I have a greater chance of hitting them than with the ultra-long range."
"training10","Удачи!","Good luck!  "